Date,Open,High,Low,Close,Volume,Adj Close
2001-02-16,51.14,51.92,50.66,51.40,8758000,17.47
2001-02-15,50.90,51.83,50.35,50.89,10574800,17.29
2001-02-14,50.25,51.15,50.21,50.80,8626000,17.26
2001-02-13,50.55,51.49,50.14,50.24,9626000,17.07
2001-02-12,49.75,50.31,49.70,50.06,8587800,17.01
2001-02-09,49.10,49.85,48.76,49.50,10775800,16.82
2001-02-08,50.00,50.00,48.56,48.75,11619600,16.57
2001-02-07,50.96,51.04,48.85,49.50,14626600,16.82
2001-02-06,51.99,52.63,50.46,50.96,13367200,17.32
2001-02-05,53.60,54.24,52.90,53.26,9242400,18.10
2001-02-02,53.60,54.95,53.42,53.60,9311200,18.22
2001-02-01,53.90,54.88,52.10,53.28,12553800,18.11
2001-01-31,55.30,55.94,53.82,53.82,15905800,18.29
2001-01-30,54.20,55.94,53.50,55.47,15187000,18.85
2001-01-29,54.01,54.42,52.70,54.02,13714000,18.36
2001-01-26,51.25,53.81,51.12,53.19,11745400,18.08
2001-01-25,51.12,52.38,50.31,51.50,8711400,17.50
2001-01-24,50.00,51.31,49.38,51.06,11042200,17.35
2001-01-23,49.75,50.69,49.56,50.38,8757400,17.12
2001-01-22,49.75,50.88,49.25,50.38,8684000,17.12
2001-01-19,49.50,49.94,48.31,49.19,11225800,16.72
2001-01-18,49.50,49.62,48.25,48.94,11780000,16.63
2001-01-17,50.94,50.94,49.31,49.56,16560800,16.84
2001-01-16,48.25,51.31,47.62,50.94,21287800,17.31
2001-01-12,49.44,49.44,48.12,49.06,8350600,16.67
2001-01-11,48.69,49.56,48.12,49.44,14693200,16.80
2001-01-10,46.75,48.75,46.56,48.56,14501000,16.50
2001-01-09,48.00,48.75,46.62,47.00,11454600,15.97
2001-01-08,47.12,48.88,46.31,48.25,11865600,16.40
2001-01-05,47.62,50.00,46.81,48.00,30578400,16.31
2001-01-04,49.81,51.69,49.38,51.50,22259200,17.50
2001-01-03,46.44,50.00,45.75,49.94,20566800,16.97
2001-01-02,45.31,46.75,45.00,46.75,7021200,15.89
2000-12-29,46.88,46.88,45.50,45.88,7570800,15.59
2000-12-28,46.25,47.25,46.25,46.81,7008800,15.91
2000-12-27,46.56,46.81,46.12,46.81,7222200,15.91
2000-12-26,46.00,46.75,45.00,46.31,7184000,15.74
2000-12-22,46.25,46.88,45.81,46.12,9425200,15.67
2000-12-21,43.38,45.88,42.94,45.81,15748800,15.57
2000-12-20,44.00,44.31,42.31,42.75,17412600,14.53
2000-12-19,43.75,45.94,43.44,44.25,22175800,15.04
2000-12-18,42.69,43.81,42.56,43.50,13112200,14.78
2000-12-15,41.38,42.44,41.38,41.81,15267800,14.21
2000-12-14,41.94,42.38,41.31,42.31,11441200,14.38
2000-12-13,43.44,43.88,42.62,42.94,14410800,14.59
2000-12-12,42.75,43.50,42.25,43.44,12758600,14.76
2000-12-11,40.88,43.56,40.81,43.44,18441800,14.76
2000-12-08,39.62,41.31,39.56,40.88,15146600,13.89
2000-12-07,38.50,39.12,38.06,39.00,22555000,13.25
2000-12-06,41.00,42.19,36.31,38.00,34591800,12.91
2000-12-05,39.00,41.62,38.50,41.19,18256800,14.00
2000-12-04,39.25,39.94,38.81,39.00,10072000,13.25
2000-12-01,40.00,40.62,39.25,39.75,10962000,13.51
2000-11-30,40.44,41.38,39.25,39.94,14783600,13.57
2000-11-29,40.06,41.19,40.00,40.69,12576800,13.83
2000-11-28,39.25,40.88,39.25,40.50,11102400,13.57
2000-11-27,39.75,39.94,39.38,39.69,9984800,13.30
2000-11-24,38.94,39.44,38.75,39.31,6632400,13.18
2000-11-22,38.75,39.31,38.19,38.56,12469200,12.92
2000-11-21,39.19,39.88,38.31,39.62,15794000,13.28
2000-11-20,40.00,40.50,38.00,39.31,18536400,13.18
2000-11-17,41.81,42.50,40.12,40.31,15500000,13.51
2000-11-16,41.75,42.94,41.69,41.88,17389000,14.03
2000-11-15,43.38,44.00,41.31,42.00,40690400,14.08
2000-11-14,48.12,48.62,45.06,45.88,18229200,15.37
2000-11-13,47.56,48.69,46.88,47.44,10939600,15.90
2000-11-10,49.50,50.25,48.38,48.38,8596000,16.21
2000-11-09,48.75,49.81,48.44,49.75,9283400,16.67
2000-11-08,50.50,50.50,48.56,48.75,11550000,16.34
2000-11-07,50.62,51.38,50.50,50.69,8151400,16.99
2000-11-06,48.94,51.12,48.94,51.06,12686400,17.11
2000-11-03,48.88,49.19,48.62,48.69,7605800,16.32
2000-11-02,48.44,50.19,48.44,49.25,10339200,16.51
2000-11-01,47.56,48.56,47.25,48.38,8454800,16.21
2000-10-31,47.00,48.19,46.38,48.06,11475600,16.11
2000-10-30,44.62,47.38,44.62,47.00,13372000,15.75
2000-10-27,44.00,44.94,43.19,44.94,9987000,15.06
2000-10-26,44.19,44.81,42.25,43.38,12509800,14.54
