Date;Last Price;Volume;SMAVG (15)
15.03.2004;3810,76;115597896;108337096
12.03.2004;3915,38;143403056;105332824
11.03.2004;3904,95;198399264;103365024
10.03.2004;4044,7;107713056;96165544
09.03.2004;4087,55;98986296;94918952
08.03.2004;4145,99;51878060;95203576
05.03.2004;4126,14;114608936;94947984
04.03.2004;4133,78;100794184;92858360
03.03.2004;4071,7;89448480;91968976
02.03.2004;4100,34;92364072;91109400
01.03.2004;4054,43;76724680;90372264
27.02.2004;4018,16;114204336;91410584
26.02.2004;4007,81;101282968;89890104
25.02.2004;3995,34;102632304;89844416
24.02.2004;3991,42;117018832;90459544
23.02.2004;4068,71;70533784;89726704
20.02.2004;4073,35;113886104;90131792
19.02.2004;4141,53;90407032;89091584
18.02.2004;4095,34;89014224;90442592
17.02.2004;4095,86;103255696;92401544
16.02.2004;4070,46;48044076;93407408
13.02.2004;4057,05;83264592;96059952
12.02.2004;4121,65;87453408;97070944
11.02.2004;4122,16;76554904;98827624
10.02.2004;4110,8;81307016;101767488
09.02.2004;4098,97;92299448;103735968
06.02.2004;4044,99;91397152;103589024
05.02.2004;4014,79;100597696;106419320
04.02.2004;4028,37;111859208;106964712
03.02.2004;4057,51;106026272;106360064
02.02.2004;4071,6;76610016;106425800
30.01.2004;4058,6;98283032;110349232
29.01.2004;4095,71;110672152;112252816
28.01.2004;4150,24;118398456;114185576
27.01.2004;4134,42;118343720;115997736
26.01.2004;4128,68;87832152;114421240
23.01.2004;4151,83;98429520;114268368
22.01.2004;4139,86;113803624;111867312
21.01.2004;4138,04;120652864;106591112
20.01.2004;4106,41;110834232;100980168
19.01.2004;4139,92;90095208;96721080
16.01.2004;4111,64;133851632;94850448
15.01.2004;4068,75;108778632;96202648
14.01.2004;4055,21;102789472;94986640
13.01.2004;3996,22;107012272;94270360
12.01.2004;3995,91;135461568;92863656
09.01.2004;4016,18;126836760;90236504
08.01.2004;4045,43;139663488;87748752
07.01.2004;4004,4;145580912;85029184
06.01.2004;4035,44;94696272;83034608
05.01.2004;4035,9;85539096;83693680
02.01.2004;4018,5;62413600;82384096
30.12.2003;3965,16;34660664;84409424
29.12.2003;3952,72;36488752;90262808
23.12.2003;3903,34;46947912;95609512
22.12.2003;3876,94;62035704;98677616
19.12.2003;3898,42;154134672;100884568
18.12.2003;3870,88;90538440;96027752
17.12.2003;3847,57;92045344;92947560
16.12.2003;3865,98;85911632;93134912
15.12.2003;3875,47;96054352;93177256
12.12.2003;3860,13;89520408;92717648
11.12.2003;3858,85;98870048;92426072
10.12.2003;3820,92;115662184;93259496
09.12.2003;3846,18;104582448;92686240
08.12.2003;3806,54;65895288;92358152
05.12.2003;3841,73;92793464;94470040
04.12.2003;3874,78;122461416;93815672
03.12.2003;3875,66;116689424;94103256
02.12.2003;3809,26;92969400;94758272
01.12.2003;3821,2;95140016;94487216
28.11.2003;3745,95;81282416;94057152
27.11.2003;3744,99;44335556;97499928
26.11.2003;3712,98;94855592;100962144
25.11.2003;3733,16;86546864;100957920
24.11.2003;3737,09;89160208;101762904
21.11.2003;3642,25;85146744;102337752
20.11.2003;3638,04;111371416;101700288
19.11.2003;3652,29;107063376;102391544
18.11.2003;3666,28;99661088;102121376
17.11.2003;3674,54;97573624;101703344
14.11.2003;3797,4;82977952;98943424
13.11.2003;3765,59;126775208;97685280
12.11.2003;3748,34;126514592;95564800
11.11.2003;3729,87;88903552;92953728
10.11.2003;3746,24;88689144;94625280
07.11.2003;3782,56;132923960;93902672
06.11.2003;3733,93;96268792;92116544
05.11.2003;3717,7;94792256;92050440
04.11.2003;3741,71;98621704;93045120
03.11.2003;3744,5;97782872;92140520
31.10.2003;3655,99;75584824;90932592
30.10.2003;3639,66;121740200;91755960
29.10.2003;3615,42;103010896;90946736
28.10.2003;3586,93;93390576;91154016
27.10.2003;3517,1;56174780;91002784
24.10.2003;3452,64;64105824;92322552
23.10.2003;3497,14;94967968;94467240
22.10.2003;3490,6;87348624;95546832
21.10.2003;3580,08;113976744;97367720
20.10.2003;3559,33;77850096;97318864
17.10.2003;3516,67;106131968;97425600
16.10.2003;3577,72;95277216;97525360
15.10.2003;3570,58;109712472;99239176
14.10.2003;3538,13;85052688;99084696
13.10.2003;3538,39;79663952;101626992
10.10.2003;3471,25;87935440;104042032
09.10.2003;3481,9;109601752;114746664
08.10.2003;3395,33;106120136;114456096
07.10.2003;3355,78;91122144;113504072
06.10.2003;3404,91;75971200;111673960
03.10.2003;3419;96276160;110355728
02.10.2003;3276,64;111161944;110160800
01.10.2003;3329,83;114661904;108368000
30.09.2003;3256,78;113243888;107622504
29.09.2003;3323,38;79451088;106587776
26.09.2003;3324,85;107628368;106398712
25.09.2003;3326,27;120984488;105022872
24.09.2003;3307,34;107395296;104030880
23.09.2003;3411,02;123187128;106169384
22.09.2003;3456,27;115889560;103392024
19.09.2003;3578,7;248504928;99684032
18.09.2003;3612,02;105243160;88082144
17.09.2003;3561,03;91839808;87325136
16.09.2003;3564,75;63670520;86916336
15.09.2003;3516,31;56197624;87860768
12.09.2003;3508,06;93352272;87593312
11.09.2003;3566,85;84269968;87144056
10.09.2003;3536,87;103479488;88143680
09.09.2003;3594,4;97722920;87049824
08.09.2003;3641,53;76615200;87223544
05.09.2003;3607,71;86990696;86372816
04.09.2003;3668,67;106104656;86035976
03.09.2003;3647,51;139472800;86490744
02.09.2003;3567,2;81526720;83515712
01.09.2003;3571,22;60269680;82303640
29.08.2003;3484,58;74476592;82340736
28.08.2003;3492,67;93888144;82248864
27.08.2003;3483,08;85707792;82312248
26.08.2003;3455,48;77836912;83710168
25.08.2003;3500,09;52185844;83436928
22.08.2003;3549,05;86613400;85439768
21.08.2003;3565,47;99264304;85940504
20.08.2003;3501,23;87071744;87830904
19.08.2003;3504,53;100328624;87661680
18.08.2003;3507,23;63854384;86773360
15.08.2003;3443,93;81938032;87234912
14.08.2003;3452,7;112926224;86580688
13.08.2003;3398,89;94847280;86138840
12.08.2003;3381,71;63345676;85026696
11.08.2003;3339,58;60826140;87784736
08.08.2003;3332,24;73098472;89509000
07.08.2003;3331,89;94838944;90406928
06.08.2003;3375,66;106676592;91320240
05.08.2003;3438,36;73738264;91347024
